;P_EL;P_OTHER;Q_EL;Q_OTHER;lP_E;lP_O;lQ_E;lQ_O;hdd_extr;lhdd_x;Ls74;I74;Ls06;I06;I75;I1986;I1978;I:1968;I:1974;I:1967;S1:1973;S1:1974;S1:1977;I:1981;PE_b;PO_b;PEO_TX;lPE_b;lPO_b;lPEO_TX;I2000;Ls86;Ls00;tr67;Dlh;Ls78;I1975;Ls09;I2009;Ls80;I1980;Tr80;I1994;Ls94;DLs74;DLs78;Dlhdd_x;Ls73;Ls79;DLs73;DLs79;VlQ_E;VlQ_O;VlP_E;VlP_O;pdif;dumm1986;Ls73c;Ls79c;dumm1986c;Ls09c;DlP_O;e_pr_cap;Le_pr_cap;LP_Ea;DLP_Ea;DlP_E;DLe_pr_cap;lPet
1997;0.000106355;0.000104518;57.14342554;221.4327124;-9.148732687;-9.166151893;4.045564345;5.400118762;3501.2;8.160861046;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.949200376;1.013108785;0.20511831;-0.052135358;0.013023608;-1.584168346;0;1;0;0;-0.144687231;1;0;0;0;1;0;0;0;1;0;0;-0.144687231;1;1;0;0;-0.004620183;-0.020223245;-0.043457479;-0.010191915;-0.017419206;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.029408023;3848.155844;8.255349311;-0.047275521;0.078485897;0.069962229;-0.080382439;-2.899545808
1998;0.00012473;8.59688E-05;53.43109253;233.1299321;-8.989361379;-9.361525873;3.978392834;5.451595947;3481.75;8.15529032;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.684581734;1.142161597;0.310681497;-0.378947235;0.132922604;-1.168987018;0;1;0;0;-0.005570726;1;0;0;0;1;0;0;0;1;0;0;-0.005570726;1;1;0;0;-0.023008116;0.029842807;0.104399144;-0.168979827;-0.372164494;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.19537398;3772.110277;8.235389879;0.07243713;0.119712651;0.159371308;-0.019959432;-2.868027585
1999;0.000132998;9.37782E-05;49.956352;222.0283656;-8.925177042;-9.274577743;3.911149664;5.402805147;3207.92;8.073378031;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.622725077;1.178871411;0.321626522;-0.473650147;0.16455755;-1.134364277;0;1;0;0;-0.081912289;1;0;0;0;1;0;0;0;1;0;0;-0.081912289;1;1;0;0;-0.056003989;-0.060785832;0.078615611;-0.036323034;-0.349400702;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.08694813;3602.670638;8.189430693;0.066049477;-0.006387652;0.064184338;-0.045959186;-2.83127945
2000;0.000124293;0.000129931;47.4909045;222.1665599;-8.992866358;-8.94850951;3.860538209;5.40342737;3117.16;8.04467761;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.579467681;1.123462303;0.226955006;-0.545645389;0.116415259;-1.483003493;1;1;1;0;-0.028700421;1;0;0;0;1;0;0;0;1;0;0;-0.028700421;1;1;0;0;-0.065085113;-0.01849561;0.001533799;0.269584796;0.044356848;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.326068234;3489.614796;8.157546635;-0.039300781;-0.105350258;-0.067689316;-0.031884058;-2.658410634
2001;0.000138652;0.00012683;46.20894803;214.9267011;-8.883541414;-8.972665853;3.83317346;5.370297045;3483.28;8.155729658;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.677665706;1.099921831;0.236637968;-0.389101172;0.095239115;-1.441223868;0;1;1;0;0.111052048;1;0;0;0;1;0;0;0;1;0;0;0.111052048;1;1;0;0;-0.042657711;-0.043498264;0.139678002;0.048642689;-0.089124439;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.024156343;3583.955723;8.18422242;0.07795875;0.117259531;0.109324944;0.026675784;-2.659540365
2002;0.000143429;0.000112653;46.16363932;218.189469;-8.849673894;-9.091199052;3.832192461;5.385363809;3177.5;8.063850003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.658592449;1.123732864;0.266011853;-0.417650375;0.116656058;-1.324214411;0;1;1;0;-0.091879655;1;0;0;0;1;0;0;0;1;0;0;-0.091879655;1;1;0;0;-0.021372888;0.016946956;0.118138114;-0.076513748;-0.241525158;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.118533199;3535.098014;8.170496305;0.058557891;-0.019400859;0.03386752;-0.013726115;-2.682253951
2003;0.000145212;0.000105742;48.44832314;239.5473671;-8.837313579;-9.154507629;3.880497728;5.478751172;3318.53;8.107277193;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.667302255;1.121261503;0.267119799;-0.404512179;0.114454393;-1.320058036;0;1;1;0;0.04342719;1;0;0;0;1;0;0;0;1;0;0;0.04342719;1;1;0;0;0.042893474;0.068771449;0.102871389;-0.051483199;-0.31719405;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.063308577;3727.834179;8.223582695;0.043739353;-0.014818538;0.012360315;0.05308639;-2.693861574
2004;0.000152211;0.000112581;44.36350588;239.7429662;-8.790239593;-9.09183753;3.792417192;5.479567375;3307.41;8.103920685;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.646357024;1.11812215;0.250383387;-0.436403259;0.111650626;-1.384761989;0;1;1;0;-0.003356508;1;0;0;0;1;0;0;0;1;0;0;-0.003356508;1;1;0;0;-0.040066007;-0.014324325;0.07140854;-0.010751469;-0.301597937;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.062670099;3597.17296;8.187903527;0.071070637;0.027331284;0.047073986;-0.035679168;-2.658180719
2005;0.000150205;0.000126105;41.66009308;260.9945968;-8.803512244;-8.978396291;3.72954367;5.564499705;3262.73;8.090319547;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.718324887;1.061277781;0.178676961;-0.330833324;0.059473636;-1.72217579;0;1;1;0;-0.013601138;1;0;0;0;1;0;0;0;1;0;0;-0.013601138;1;1;0;0;-0.053842604;0.083075582;0.041349279;0.044314684;-0.174884047;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.113441239;3487.631914;8.15697825;0.026052977;-0.045017661;-0.013272651;-0.030925277;-2.564604701
2006;0.000143;0.000130943;43.90525841;289.5258665;-8.852668662;-8.940749715;3.782034094;5.668244642;3088.39;8.035405199;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0.910279848;1.013611102;0.131722995;-0.094003201;0.013519303;-2.027054087;0;1;1;0;-0.054914349;1;0;0;0;1;0;0;0;1;0;0;-0.054914349;1;1;0;0;0;-2.66454E-15;0;3.55271E-15;-0.088081054;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.037646575;3728.171039;8.223673054;-0.033983504;-0.060036481;-0.049156418;0.066694804;-2.538821525
